x,Curve26
-0.01849,-0.004501
0.02102,0.004913
0.06201,0.015053
0.11176,0.02635
0.16722,0.035182
0.22121,0.043289
0.27913,0.049545
0.36972,0.056738
0.41123,0.061936
0.51712,0.070251
0.59951,0.069734
0.68227,0.070295
0.72611,0.071363
0.88719,0.07571
1.04085,0.076834
1.14994,0.078451
1.30096,0.080156
1.50918,0.081412
1.66136,0.081684
1.74087,0.0831
1.83704,0.084845
1.92964,0.084941
2.02137,0.084947
2.18982,0.090754
2.28354,0.098039
2.40983,0.106778
2.55651,0.117705
2.69593,0.130094
2.82071,0.142487
2.95282,0.154878
3.07763,0.168002
3.20976,0.181124
3.34186,0.193515
3.46669,0.207369
3.5988,0.21976
3.73816,0.230688
3.86263,0.2405
3.9579,0.245518
4.07542,0.252531
4.24392,0.259799
4.37733,0.265319
4.48575,0.272165
4.65425,0.279433
4.81546,0.287433
4.98398,0.295281
5.1452,0.303432
5.31509,0.30881
5.48215,0.316507
5.64336,0.324507
5.81915,0.331043
5.98765,0.338311
6.14884,0.345581
6.3246,0.351386
6.50032,0.355729
6.66877,0.361536
6.83724,0.368073
7.00572,0.374611
7.17417,0.380417
7.33535,0.387687
7.48333,0.3938
7.5577,0.397135
7.68971,0.400473
7.84344,0.399707
7.99389,0.39265
8.12807,0.380499
8.22129,0.366149
8.30696,0.349468
8.3649,0.332649
8.38556,0.325145
8.40987,0.313106
8.43415,0.302371
8.46132,0.290622
8.47822,0.275684
8.49662,0.262197
8.52229,0.249287
8.53193,0.233916
8.54168,0.22188
8.55723,0.210423
8.57127,0.195196
8.58522,0.179824
8.59942,0.169527
8.60611,0.153432
8.62008,0.13864
8.63837,0.121818
8.64512,0.107463
8.65755,0.088177
8.66722,0.073967
8.67982,0.06164
8.68811,0.047574
8.69482,0.032059
8.71322,0.018571
8.71547,0.001028
8.72228,-0.013473
8.73198,-0.027103
8.74158,-0.041604
8.7658,-0.056108
8.77119,-0.067418
8.78241,-0.079164
8.78635,-0.090184
8.81835,-0.089177
8.82113,-0.093382
8.83841,-0.097156
8.86902,-0.092088
8.89566,-0.0789
8.92664,-0.06296
8.95038,-0.049191
8.9711,-0.038032
9.02694,-0.018472
9.07812,-0.006305
9.1162,0.003255
9.14392,0.007309
