##################################################################################
#
# Institution : Professur fuer Stroemungsmechanik (PfS), 
#               Helmut-Schmidt-Universitaet Hamburg (HSU)                
#
# Author      : Michael Breuer 
#
# E-Mail      : breuer@hsu-hh.de (++49 (0)40 - 6541  / 2724)
#
# Test Case   : 2D Periodic Hill Case
#
# Code        : LESOCC (Large-Eddy Simulation On Curvilinear Coordinates)
#                 3-D finite volume,
#                 Curvilinear body-fitted coordinate system,
#                 Non-staggered (cell-centered) grid arrangement,
#                 Block-structured grids 
#                 Spatial discretization:  central, second-order accurate
#                 Temporal discretization: Predictor-corrector scheme based on 
#                                          low-storage Runge-Kutta scheme, 
#                                          second-order accurate
# 
# Case        : 7   (Re = 5600, LES) 
#
# Please refer to               
#
#          Breuer, M., Peller, N., Rapp, Ch., Manhart, M.:
#          Flow over Periodic Hills - Numerical and Experimental Study in
#          a Wide Range of Reynolds Numbers, 
#          Int. J. Computers and Fluids, vol. 38(2), pp. 433-457, (2009).
#          DOI information:  http://dx.doi.org/10.1016/j.compfluid.2008.05.002
#
#          for further details. 
#
###################################################################################
#
#   y/h          U/Ubulk          V/Ubulk         uu/Ubulk^2       vv/Ubulk^2      uv/Ubulk^2      k/Ubulk^2  
#
 3.033407927E+00 3.588331491E-02 1.022254196E-06 1.686530595E-04 3.238888979E-08 2.763662224E-07 1.297991694E-04
 3.027219296E+00 1.688879430E-01 1.379873720E-04 3.637382295E-03 9.407217476E-06 6.932731776E-05 2.476283349E-03
 3.021030426E+00 2.889604568E-01 4.117404460E-04 9.945456870E-03 5.973524821E-05 3.396484535E-04 6.451951340E-03
 3.014841557E+00 3.905319571E-01 7.783698966E-04 1.590034924E-02 1.647444733E-04 7.516596816E-04 1.020871568E-02
 3.008652925E+00 4.728119075E-01 1.202800660E-03 1.997924224E-02 3.196284233E-04 1.179862651E-03 1.293522865E-02
 3.002464056E+00 5.380631685E-01 1.658316934E-03 2.223546803E-02 5.137933767E-04 1.552839065E-03 1.465494744E-02
 2.996275425E+00 5.884789228E-01 2.126530744E-03 2.314820141E-02 7.386138313E-04 1.843617647E-03 1.560603455E-02
 2.990086555E+00 6.292782426E-01 2.593824873E-03 2.339679189E-02 9.799910476E-04 2.072011586E-03 1.615230367E-02
 2.983897924E+00 6.618566513E-01 3.053200664E-03 2.323087491E-02 1.231234404E-03 2.244670875E-03 1.642190292E-02
 2.977709055E+00 6.890468597E-01 3.501160536E-03 2.288834751E-02 1.484072884E-03 2.380648162E-03 1.655369811E-02
 2.971520424E+00 7.115234733E-01 3.934585024E-03 2.245080285E-02 1.733646262E-03 2.484468045E-03 1.659305394E-02
 2.965331554E+00 7.309241891E-01 4.354966339E-03 2.198642306E-02 1.976205502E-03 2.567502670E-03 1.658881642E-02
 2.959142923E+00 7.476726770E-01 4.760641139E-03 2.151912078E-02 2.208590740E-03 2.632576507E-03 1.655614004E-02
 2.952954054E+00 7.623037696E-01 5.152689759E-03 2.106469125E-02 2.428683685E-03 2.682799008E-03 1.650720276E-02
 2.946765423E+00 7.753726840E-01 5.531839095E-03 2.063088864E-02 2.636197256E-03 2.721321769E-03 1.645089127E-02
 2.940576553E+00 7.871650457E-01 5.897978786E-03 2.022064663E-02 2.830822952E-03 2.749558538E-03 1.639129221E-02
 2.934387922E+00 7.978067994E-01 6.250436418E-03 1.983705163E-02 3.010907909E-03 2.767598722E-03 1.633062027E-02
 2.928199053E+00 8.075281382E-01 6.590071600E-03 1.947763190E-02 3.177207662E-03 2.776835347E-03 1.626965590E-02
 2.922010422E+00 8.165040612E-01 6.918743253E-03 1.913937367E-02 3.330505220E-03 2.778315684E-03 1.620858721E-02
 2.915821552E+00 8.248406649E-01 7.235987112E-03 1.882193238E-02 3.471522126E-03 2.773258835E-03 1.614823751E-02
 2.909632683E+00 8.326393366E-01 7.543018553E-03 1.851300150E-02 3.598972922E-03 2.762046410E-03 1.607887633E-02
 2.903444052E+00 8.399815559E-01 7.839927450E-03 1.822297275E-02 3.716809675E-03 2.744517988E-03 1.601249725E-02
 2.897255182E+00 8.468660712E-01 8.126766421E-03 1.795218512E-02 3.825181164E-03 2.720140619E-03 1.594932564E-02
