x,Curve01
1.0011,-0.00012
1.01355,0.17823
1.026,0.44734
1.03845,0.6844
1.0509,0.80042
1.06335,0.91003
1.0758,0.94885
1.08825,0.9687
1.1007,0.98072
1.11315,0.98723
1.1256,0.99007
1.13805,0.99116
1.1505,0.99142
1.16295,0.99124
1.1754,0.99079
1.18785,0.99013
1.2003,0.98934
1.21275,0.98845
1.2252,0.98751
1.23765,0.98659
1.2501,0.98575
1.26255,0.98502
1.275,0.98439
1.28745,0.98385
1.2999,0.98339
1.31235,0.983
1.3248,0.98269
1.33725,0.98244
1.3497,0.98225
1.36215,0.9821
1.3746,0.98199
1.38705,0.9819
1.3995,0.98186
1.41195,0.98191
1.4244,0.98208
1.43685,0.98239
1.4493,0.98285
1.46175,0.98343
1.4742,0.98406
1.48665,0.98472
1.4991,0.98535
1.51155,0.98598
1.524,0.9867
1.53645,0.98756
1.5489,0.98854
1.56135,0.98964
1.5738,0.99084
1.58625,0.9921
1.5987,0.99341
1.61115,0.99476
1.6236,0.99613
1.63605,0.99753
1.6485,0.99894
1.66095,1.00037
1.67339,1.00181
1.68584,1.00326
1.69829,1.00471
1.71074,1.00617
1.72319,1.00763
1.73564,1.0091
1.74809,1.0106
1.76054,1.01214
1.77299,1.0137
1.78544,1.01526
1.79789,1.0168
1.81034,1.01831
1.82279,1.01979
1.83524,1.02126
1.84769,1.02277
1.86014,1.02437
1.87259,1.02606
1.88504,1.02785
1.89749,1.0297
1.90994,1.03158
1.92239,1.03347
1.93484,1.03534
1.94729,1.0372
1.95974,1.03902
1.97219,1.04081
1.98464,1.04257
1.99709,1.04431
2.00954,1.04603
2.02199,1.04774
2.03444,1.04944
2.04689,1.05114
2.05934,1.05286
2.07179,1.05457
2.08424,1.05626
2.09669,1.05789
2.10914,1.05945
2.12159,1.06094
2.13404,1.0624
2.14649,1.06385
2.15894,1.06533
2.17139,1.06686
2.18384,1.06842
2.19629,1.06996
2.20874,1.07142
2.22119,1.07278
2.23364,1.07404
2.24609,1.07523
2.25854,1.07636
2.27099,1.07744
2.28344,1.07847
2.29589,1.07945
2.30834,1.08037
2.32079,1.08124
2.33324,1.08206
2.34569,1.08281
2.35814,1.0835
2.37059,1.08414
2.38304,1.08472
2.39548,1.08524
2.40793,1.0857
2.42038,1.08609
2.43283,1.08641
2.44528,1.08668
2.45773,1.08692
2.47018,1.08716
2.48263,1.08736
2.49508,1.08748
2.50753,1.08747
2.51998,1.08732
2.53243,1.08702
2.54488,1.08659
2.55733,1.08603
2.56978,1.08536
2.58223,1.08457
2.59468,1.08366
2.60713,1.08261
2.61958,1.08139
2.63203,1.07998
2.64448,1.07833
2.65693,1.07644
2.66938,1.07432
2.68183,1.07197
2.69428,1.06941
2.70673,1.06669
2.71918,1.06382
2.73163,1.0608
2.74408,1.05763
2.75653,1.05431
2.76898,1.05078
2.78143,1.04695
2.79388,1.04269
2.80633,1.03787
2.81878,1.03252
2.83123,1.02683
2.84368,1.02094
2.85613,1.01486
2.86858,1.00852
2.88103,1.00172
2.89348,0.99366
2.90593,0.98315
2.91838,0.97214
2.93083,0.95991
2.94328,0.94371
2.95573,0.9217
2.96818,0.89436
2.98063,0.84561
2.99308,0.77771
3.00553,0.67968
3.01798,0.55093
3.03043,0.33613
