##################################################################################
#
# Institution : Professur fuer Stroemungsmechanik (PfS), 
#               Helmut-Schmidt-Universitaet Hamburg (HSU)                
#
# Author      : Michael Breuer 
#
# E-Mail      : breuer@hsu-hh.de (++49 (0)40 - 6541  / 2724)
#
# Test Case   : 2D Periodic Hill Case
#
# Code        : LESOCC (Large-Eddy Simulation On Curvilinear Coordinates)
#                 3-D finite volume,
#                 Curvilinear body-fitted coordinate system,
#                 Non-staggered (cell-centered) grid arrangement,
#                 Block-structured grids 
#                 Spatial discretization:  central, second-order accurate
#                 Temporal discretization: Predictor-corrector scheme based on 
#                                          low-storage Runge-Kutta scheme, 
#                                          second-order accurate
# 
# Case        : 7   (Re = 5600, LES) 
#
# Please refer to               
#
#          Breuer, M., Peller, N., Rapp, Ch., Manhart, M.:
#          Flow over Periodic Hills - Numerical and Experimental Study in
#          a Wide Range of Reynolds Numbers, 
#          Int. J. Computers and Fluids, vol. 38(2), pp. 433-457, (2009).
#          DOI information:  http://dx.doi.org/10.1016/j.compfluid.2008.05.002
#
#          for further details. 
#
###################################################################################
#
#   y/h          U/Ubulk          V/Ubulk         uu/Ubulk^2       vv/Ubulk^2      uv/Ubulk^2      k/Ubulk^2  
#
 3.033862352E+00 3.235866129E-02 -1.058329758E-06 8.984525630E-05 8.251841876E-09 1.295069580E-07 6.293972547E-05
 3.029099464E+00 1.634412110E-01 -5.509269613E-05 2.125912113E-03 2.065161652E-06 2.367163142E-05 1.386778778E-03
 3.024336338E+00 2.870083451E-01 -1.603886485E-04 6.392589305E-03 1.430803331E-05 1.298557181E-04 4.014613107E-03
 3.019573450E+00 3.996842504E-01 -2.933043870E-04 1.165934373E-02 4.391478797E-05 3.406198230E-04 7.198784500E-03
 3.014810324E+00 4.990501702E-01 -4.322158929E-04 1.647408679E-02 9.386581951E-05 6.242313539E-04 1.015620120E-02
 3.010047436E+00 5.840259194E-01 -5.584199680E-04 1.996208541E-02 1.639664406E-04 9.266998968E-04 1.242414489E-02
 3.005284548E+00 6.547630429E-01 -6.593134603E-04 2.194718458E-02 2.528361219E-04 1.203383785E-03 1.390068233E-02
 3.000521421E+00 7.125240564E-01 -7.270141505E-04 2.268761396E-02 3.589480766E-04 1.429237076E-03 1.470733061E-02
 2.995758533E+00 7.600263357E-01 -7.627393934E-04 2.264180966E-02 4.789424420E-04 1.602986595E-03 1.507451665E-02
 2.990995407E+00 7.988842726E-01 -7.641089614E-04 2.211488411E-02 6.102882326E-04 1.728973002E-03 1.515516918E-02
 2.986232519E+00 8.304705620E-01 -7.348178187E-04 2.132816054E-02 7.517316262E-04 1.813643496E-03 1.506129932E-02
 2.981469631E+00 8.568946123E-01 -6.797197857E-04 2.045174874E-02 8.998030098E-04 1.870386419E-03 1.488696039E-02
 2.976706505E+00 8.786410689E-01 -6.011545775E-04 1.956534944E-02 1.053530490E-03 1.903490396E-03 1.467193756E-02
 2.971943617E+00 8.971496820E-01 -5.025417777E-04 1.871754415E-02 1.210468006E-03 1.922025695E-03 1.444933377E-02
 2.967180490E+00 9.129121304E-01 -3.894632391E-04 1.793038473E-02 1.369195990E-03 1.929321443E-03 1.423254050E-02
 2.962417603E+00 9.263657928E-01 -2.611297532E-04 1.721837558E-02 1.528479042E-03 1.928593614E-03 1.403141394E-02
 2.957654715E+00 9.381626844E-01 -1.213752184E-04 1.657447033E-02 1.687084790E-03 1.923116506E-03 1.384776924E-02
 2.952891588E+00 9.485487938E-01 2.576908082E-05 1.599689946E-02 1.844086568E-03 1.913973480E-03 1.368271932E-02
 2.948128700E+00 9.576355219E-01 1.818443270E-04 1.548378356E-02 1.997884363E-03 1.902251621E-03 1.353489701E-02
 2.943365574E+00 9.657745957E-01 3.444990725E-04 1.503150817E-02 2.149234526E-03 1.888941624E-03 1.340932492E-02
 2.938602686E+00 9.731123447E-01 5.127044278E-04 1.462867390E-02 2.297152765E-03 1.874644542E-03 1.330034900E-02
 2.933839798E+00 9.797493219E-01 6.843376323E-04 1.426997129E-02 2.441259800E-03 1.859519631E-03 1.320634130E-02
 2.929076672E+00 9.857935309E-01 8.598185377E-04 1.394991297E-02 2.581573790E-03 1.843650010E-03 1.312557422E-02
 2.924313784E+00 9.912788868E-01 1.037868788E-03 1.366615482E-02 2.717061434E-03 1.827122876E-03 1.305701863E-02
 2.919550657E+00 9.963380098E-01 1.218276448E-03 1.341042388E-02 2.848468255E-03 1.809920184E-03 1.299785450E-02
 2.914787769E+00 1.001028657E+00 1.400529873E-03 1.317896694E-02 2.975885756E-03 1.792056602E-03 1.294671092E-02
 2.910024881E+00 1.005385518E+00 1.584094716E-03 1.296951715E-02 3.098964226E-03 1.773548429E-03 1.290266868E-02
 2.905261755E+00 1.009457469E+00 1.768436399E-03 1.277930383E-02 3.217988880E-03 1.754393801E-03 1.286474708E-02
 2.900498867E+00 1.013273716E+00 1.953559229E-03 1.260638237E-02 3.333030967E-03 1.734561403E-03 1.283222251E-02
 2.895735741E+00 1.016865730E+00 2.138928277E-03 1.244896650E-02 3.444333328E-03 1.714093611E-03 1.280446723E-02
 2.890972853E+00 1.020261049E+00 2.325038193E-03 1.230609044E-02 3.551878268E-03 1.692945254E-03 1.278111245E-02
 2.886209965E+00 1.023465395E+00 2.511265688E-03 1.217665523E-02 3.655694658E-03 1.671138802E-03 1.276178379E-02
 2.881446838E+00 1.026513696E+00 2.697305754E-03 1.205836236E-02 3.756133374E-03 1.648730598E-03 1.274577528E-02
 2.876683950E+00 1.029418945E+00 2.882355591E-03 1.194977947E-02 3.853537142E-03 1.625699108E-03 1.273268089E-02
 2.871920824E+00 1.032197833E+00 3.067120910E-03 1.184959989E-02 3.948181402E-03 1.602057135E-03 1.272210851E-02
 2.867157936E+00 1.034868240E+00 3.252760042E-03 1.175674610E-02 4.040236119E-03 1.577821211E-03 1.271368656E-02
 2.862395048E+00 1.037426353E+00 3.438164247E-03 1.167150587E-02 4.129586741E-03 1.552721020E-03 1.270749606E-02
 2.857631922E+00 1.039869428E+00 3.622388467E-03 1.159282122E-02 4.216419999E-03 1.526675187E-03 1.270321570E-02
 2.852869034E+00 1.042228580E+00 3.804753069E-03 1.151909493E-02 4.301384091E-03 1.499810955E-03 1.270046085E-02
 2.848105907E+00 1.044521332E+00 3.987619188E-03 1.144975610E-02 4.384584259E-03 1.472205855E-03 1.269900240E-02
 2.843343019E+00 1.046726108E+00 4.170011263E-03 1.138644572E-02 4.465519451E-03 1.443440560E-03 1.269949414E-02
 2.838579893E+00 1.048847198E+00 4.350264091E-03 1.132808812E-02 4.544833209E-03 1.413508784E-03 1.270181406E-02
 2.833817005E+00 1.050914764E+00 4.529824480E-03 1.127355173E-02 4.622867797E-03 1.382765360E-03 1.270553563E-02
 2.829054117E+00 1.052918673E+00 4.708439577E-03 1.122433040E-02 4.699027631E-03 1.351046725E-03 1.271120831E-02
 2.824290991E+00 1.054849863E+00 4.885760136E-03 1.118070725E-02 4.773879889E-03 1.317826682E-03 1.271939836E-02
 2.819528103E+00 1.056739569E+00 5.062706303E-03 1.114037633E-02 4.847880453E-03 1.283785328E-03 1.272890717E-02
 2.814764977E+00 1.058557272E+00 5.237680860E-03 1.110550947E-02 4.920407198E-03 1.248510787E-03 1.274026465E-02
 2.810002089E+00 1.060314775E+00 5.409456324E-03 1.107584406E-02 4.992087372E-03 1.211902360E-03 1.275382843E-02
 2.805239201E+00 1.062045693E+00 5.583456252E-03 1.104869880E-02 5.063020624E-03 1.174598001E-03 1.276831329E-02
 2.800476074E+00 1.063694477E+00 5.754070822E-03 1.102827862E-02 5.132458638E-03 1.135343686E-03 1.278548408E-02
 2.795713186E+00 1.065324068E+00 5.923922174E-03 1.100936066E-02 5.201555789E-03 1.095624059E-03 1.280328445E-02
 2.790950060E+00 1.066887498E+00 6.092517637E-03 1.099573448E-02 5.269351415E-03 1.054222463E-03 1.282331906E-02
 2.786187172E+00 1.068422675E+00 6.258819252E-03 1.098368037E-02 5.336873699E-03 1.012164634E-03 1.284414809E-02
 2.781424284E+00 1.069901705E+00 6.426278502E-03 1.097492781E-02 5.403302610E-03 9.686516132E-04 1.286640018E-02
 2.776661158E+00 1.071351171E+00 6.590262521E-03 1.096779387E-02 5.469495431E-03 9.245174006E-04 1.288952306E-02
 2.771898270E+00 1.072752714E+00 6.754615810E-03 1.096327417E-02 5.534747615E-03 8.793200250E-04 1.291381754E-02
 2.767135143E+00 1.074131846E+00 6.916348822E-03 1.096000709E-02 5.599902477E-03 8.335996536E-04 1.293885801E-02
 2.762372255E+00 1.075454354E+00 7.078853436E-03 1.095971093E-02 5.664217286E-03 7.864389918E-04 1.296551339E-02
 2.757609367E+00 1.076771259E+00 7.240187842E-03 1.095974166E-02 5.728569347E-03 7.391815307E-04 1.299237367E-02
 2.752846241E+00 1.078012943E+00 7.398865186E-03 1.096456498E-02 5.792262964E-03 6.902741152E-04 1.302204560E-02
 2.748083353E+00 1.079258204E+00 7.558691315E-03 1.096917596E-02 5.855903029E-03 6.414236268E-04 1.305157878E-02
 2.743320227E+00 1.080438256E+00 7.714543026E-03 1.097794715E-02 5.919323303E-03 5.910547334E-04 1.308369637E-02
 2.738557339E+00 1.081609488E+00 7.873929106E-03 1.098756585E-02 5.982400384E-03 5.403792602E-04 1.311623026E-02
 2.733794451E+00 1.082744002E+00 8.028436452E-03 1.099925302E-02 6.045637652E-03 4.889202537E-04 1.315023191E-02
 2.729031324E+00 1.083835483E+00 8.183669299E-03 1.101382636E-02 6.108642556E-03 4.363647895E-04 1.318607479E-02
 2.724268436E+00 1.084924936E+00 8.338169195E-03 1.102849003E-02 6.171681918E-03 3.837846452E-04 1.322200708E-02
 2.719505310E+00 1.085950017E+00 8.489321917E-03 1.104739122E-02 6.234787405E-03 3.297067597E-04 1.326117013E-02
