x,Curve03
0.99938,-6.39e-05
1.01176,0.0200658
1.02414,0.065922
1.03652,0.086019
1.0489,0.0789004
1.06128,0.062659
1.07366,0.0507219
1.08604,0.0428262
1.09842,0.0382067
1.1108,0.0350767
1.12319,0.03302
1.13557,0.0316289
1.14795,0.0308114
1.16033,0.0303055
1.17271,0.0299486
1.18509,0.0296832
1.19747,0.0294892
1.20985,0.0293658
1.22223,0.0293148
1.23461,0.0293233
1.24699,0.029371
1.25937,0.0294386
1.27175,0.0295214
1.28413,0.0296192
1.29651,0.0297311
1.30889,0.029855
1.32127,0.0299879
1.33365,0.0301273
1.34603,0.0302715
1.35841,0.0304191
1.37079,0.0305694
1.38317,0.0307227
1.39555,0.030879
1.40793,0.0310387
1.42031,0.0312014
1.43269,0.0313633
1.44507,0.0315187
1.45745,0.0316623
1.46983,0.0317893
1.48221,0.0318974
1.49459,0.031987
1.50697,0.0320591
1.51935,0.0321143
1.53173,0.0321529
1.54411,0.0321767
1.55649,0.0321885
1.56887,0.0321913
1.58125,0.0321878
1.59363,0.0321805
1.60601,0.0321702
1.61839,0.0321543
1.63077,0.0321301
1.64315,0.0320944
1.65553,0.0320442
1.66791,0.0319788
1.68029,0.0319009
1.69267,0.0318141
1.70505,0.031722
1.71743,0.0316277
1.72981,0.0315312
1.74219,0.0314302
1.75457,0.031322
1.76695,0.0312039
1.77933,0.0310722
1.79171,0.0309242
1.80409,0.0307579
1.81647,0.030572
1.82885,0.0303657
1.84123,0.0301404
1.85361,0.0298991
1.86599,0.0296446
1.87837,0.0293795
1.89075,0.0291054
1.90313,0.0288213
1.91551,0.0285264
1.92789,0.02822
1.94027,0.0279038
1.95265,0.0275819
1.96503,0.0272588
1.97741,0.0269384
1.98979,0.0266223
2.00217,0.0263107
2.01455,0.0260039
2.02693,0.0257019
2.03931,0.0254019
2.05169,0.0251005
2.06407,0.024794
2.07645,0.0244797
2.08883,0.0241578
2.10121,0.0238288
2.11359,0.0234934
2.12597,0.0231529
2.13835,0.0228092
2.15073,0.0224647
2.16311,0.0221211
2.17549,0.0217797
2.18787,0.0214411
2.20025,0.0211068
2.21263,0.0207775
2.22501,0.0204505
2.23739,0.0201217
2.24977,0.019788
2.26215,0.019452
2.27453,0.0191182
2.28691,0.0187912
2.29929,0.0184751
2.31167,0.0181668
2.32405,0.017859
2.33643,0.0175444
2.34881,0.0172204
2.36119,0.0168926
2.37357,0.016567
2.38595,0.0162494
2.39833,0.0159423
2.41071,0.0156427
2.42309,0.0153466
2.43547,0.0150509
2.44785,0.0147614
2.46023,0.0144864
2.47261,0.0142315
2.48499,0.0139947
2.49737,0.0137682
2.50975,0.013546
2.52213,0.0133227
2.53451,0.0130964
2.54689,0.0128725
2.55927,0.0126582
2.57165,0.0124605
2.58403,0.0122835
2.59641,0.0121237
2.60879,0.0119761
2.62117,0.0118358
2.63355,0.0116996
2.64593,0.011569
2.65831,0.0114473
2.67069,0.0113376
2.68307,0.0112428
2.69545,0.0111658
2.70783,0.0111067
2.72021,0.0110646
2.73259,0.0110387
2.74497,0.0110282
2.75735,0.0110324
2.76973,0.0110509
2.78211,0.0110839
2.79449,0.0111319
2.80687,0.011196
2.81925,0.0112779
2.83163,0.0113815
2.84401,0.0115131
2.85639,0.0116795
2.86877,0.0118881
2.88115,0.0121439
2.89353,0.0124429
2.90591,0.0127827
2.91829,0.0131701
2.93067,0.0137159
2.94306,0.0146204
2.95544,0.0157316
2.96782,0.0170972
2.9802,0.018922
2.99258,0.020766
3.00496,0.0209194
3.01734,0.0152598
3.02972,0.0031164
