##################################################################################
#
# Institution : Professur fuer Stroemungsmechanik (PfS), 
#               Helmut-Schmidt-Universitaet Hamburg (HSU)                
#
# Author      : Michael Breuer 
#
# E-Mail      : breuer@hsu-hh.de (++49 (0)40 - 6541  / 2724)
#
# Test Case   : 2D Periodic Hill Case
#
# Code        : LESOCC (Large-Eddy Simulation On Curvilinear Coordinates)
#                 3-D finite volume,
#                 Curvilinear body-fitted coordinate system,
#                 Non-staggered (cell-centered) grid arrangement,
#                 Block-structured grids 
#                 Spatial discretization:  central, second-order accurate
#                 Temporal discretization: Predictor-corrector scheme based on 
#                                          low-storage Runge-Kutta scheme, 
#                                          second-order accurate
# 
# Case        : 7   (Re = 5600, LES) 
#
# Please refer to               
#
#          Breuer, M., Peller, N., Rapp, Ch., Manhart, M.:
#          Flow over Periodic Hills - Numerical and Experimental Study in
#          a Wide Range of Reynolds Numbers, 
#          Int. J. Computers and Fluids, vol. 38(2), pp. 433-457, (2009).
#          DOI information:  http://dx.doi.org/10.1016/j.compfluid.2008.05.002
#
#          for further details. 
#
###################################################################################
#
#   y/h          U/Ubulk          V/Ubulk         uu/Ubulk^2       vv/Ubulk^2      uv/Ubulk^2      k/Ubulk^2  
#
 3.033407927E+00 3.419389948E-02 -3.227478828E-06 1.693814702E-04 2.475889893E-08 1.717881872E-07 1.158101004E-04
 3.027219296E+00 1.670974046E-01 -1.442440698E-04 3.608162282E-03 5.134392268E-06 3.953692067E-05 2.253122162E-03
 3.021030426E+00 2.963203192E-01 -4.368511436E-04 1.049529854E-02 3.281565660E-05 2.189731749E-04 6.288822275E-03
 3.014841557E+00 4.157249928E-01 -8.378272178E-04 1.804423332E-02 9.124005010E-05 5.403730320E-04 1.066676248E-02
 3.008652925E+00 5.206568241E-01 -1.305347658E-03 2.399235405E-02 1.788136142E-04 9.223337984E-04 1.421547309E-02
 3.002464056E+00 6.097764969E-01 -1.804464264E-03 2.763480507E-02 2.908817260E-04 1.287565799E-03 1.657226495E-02
 2.996275425E+00 6.828013659E-01 -2.308669034E-03 2.908975072E-02 4.243459844E-04 1.586157829E-03 1.778912172E-02
 2.990086555E+00 7.425072193E-01 -2.799768699E-03 2.910349146E-02 5.741233472E-04 1.807320863E-03 1.823923923E-02
 2.983897924E+00 7.913511992E-01 -3.267164808E-03 2.823938429E-02 7.364352350E-04 1.958210487E-03 1.820562035E-02
 2.977709055E+00 8.309170008E-01 -3.703199094E-03 2.690312825E-02 9.084213525E-04 2.048097318E-03 1.788932644E-02
 2.971520424E+00 8.636065125E-01 -4.108156543E-03 2.538453415E-02 1.087034587E-03 2.093850868E-03 1.744170673E-02
 2.965331554E+00 8.907827139E-01 -4.482552409E-03 2.384789474E-02 1.269588480E-03 2.107161563E-03 1.694781706E-02
 2.959142923E+00 9.132615328E-01 -4.825101234E-03 2.238716371E-02 1.454557409E-03 2.095235512E-03 1.645656675E-02
 2.952954054E+00 9.324598908E-01 -5.142070819E-03 2.103620954E-02 1.640274189E-03 2.067712834E-03 1.599309593E-02
 2.946765423E+00 9.488831162E-01 -5.435795523E-03 1.981452294E-02 1.825106447E-03 2.028861782E-03 1.556964964E-02
 2.940576553E+00 9.628111720E-01 -5.704943556E-03 1.873935945E-02 2.008516807E-03 1.981696114E-03 1.519634109E-02
 2.934387922E+00 9.749576449E-01 -5.954395048E-03 1.778594963E-02 2.189544961E-03 1.930276281E-03 1.486674044E-02
 2.928199053E+00 9.856113195E-01 -6.186166778E-03 1.694357209E-02 2.367552835E-03 1.876441995E-03 1.457775477E-02
 2.922010422E+00 9.950032234E-01 -6.402229890E-03 1.620220207E-02 2.542103874E-03 1.821681391E-03 1.432615612E-02
 2.915821552E+00 1.003334880E+00 -6.604138762E-03 1.555306837E-02 2.712465823E-03 1.767127891E-03 1.410908531E-02
 2.909632683E+00 1.010755420E+00 -6.792731583E-03 1.497350074E-02 2.877055900E-03 1.713789301E-03 1.391245238E-02
 2.903444052E+00 1.017402172E+00 -6.969412789E-03 1.447635330E-02 3.039298812E-03 1.659920905E-03 1.375161950E-02
 2.897255182E+00 1.023418307E+00 -7.135866210E-03 1.403542981E-02 3.197517944E-03 1.607230748E-03 1.361112855E-02
 2.891066551E+00 1.028881311E+00 -7.293798029E-03 1.364390552E-02 3.351608291E-03 1.555826864E-03 1.348877139E-02
 2.884877682E+00 1.033871889E+00 -7.443886250E-03 1.329587214E-02 3.501711646E-03 1.505556284E-03 1.338263415E-02
 2.878689051E+00 1.038427472E+00 -7.586615160E-03 1.298760995E-02 3.647468518E-03 1.456440659E-03 1.329154149E-02
 2.872500181E+00 1.042601466E+00 -7.723488379E-03 1.271535270E-02 3.789272392E-03 1.408051583E-03 1.321452763E-02
 2.866311550E+00 1.046456456E+00 -7.854674011E-03 1.247457415E-02 3.927252721E-03 1.360531664E-03 1.315009966E-02
 2.860122681E+00 1.050041199E+00 -7.981857285E-03 1.226264983E-02 4.061569925E-03 1.313491841E-03 1.309745107E-02
 2.853934050E+00 1.053379893E+00 -8.104508743E-03 1.207738649E-02 4.192364402E-03 1.267148880E-03 1.305579208E-02
 2.847745180E+00 1.056503773E+00 -8.224094287E-03 1.191575546E-02 4.319785163E-03 1.221115468E-03 1.302393805E-02
