x,Curve15
-1.27581e-07,2.32e-05
0.0175,0.0171003
0.035,0.0270627
0.0525,0.0297697
0.07,0.031194
0.08751,0.0321369
0.10501,0.0330105
0.12251,0.033891
0.14001,0.0348158
0.15751,0.0358208
0.17501,0.0368943
0.19251,0.0380052
0.21001,0.0391374
0.22752,0.0402845
0.24502,0.0414455
0.26252,0.0426245
0.28002,0.0438309
0.29752,0.0450766
0.31502,0.0463436
0.33252,0.0475976
0.35002,0.0488751
0.36752,0.0502707
0.38503,0.0517297
0.40253,0.053069
0.42003,0.0543631
0.43753,0.0556758
0.45503,0.0570246
0.47253,0.0583849
0.49003,0.059727
0.50753,0.0610211
0.52504,0.0622386
0.54254,0.0633944
0.56004,0.0645309
0.57754,0.0657143
0.59504,0.0669355
0.61254,0.0680775
0.63004,0.069089
0.64754,0.0700969
0.66504,0.0711454
0.68255,0.0721893
0.70005,0.0731953
0.71755,0.074131
0.73505,0.0749667
0.75255,0.0756882
0.77005,0.0762985
0.78755,0.0768203
0.80505,0.077271
0.82256,0.0776609
0.84006,0.0779945
0.85756,0.0782643
0.87506,0.0784633
0.89256,0.078591
0.91006,0.0786517
0.92756,0.0786459
0.94506,0.078562
0.96256,0.0783874
0.98007,0.0781083
0.99757,0.0777086
1.01507,0.0771708
1.03257,0.0765014
1.05007,0.0757205
1.06757,0.0748427
1.08507,0.0738786
1.10257,0.0728363
1.12008,0.0716852
1.13758,0.0704947
1.15508,0.0691256
1.17258,0.067562
1.19008,0.0661866
1.20758,0.0648501
1.22508,0.0633677
1.24258,0.0617267
1.26008,0.0600983
1.27759,0.0586016
1.29509,0.0571848
1.31259,0.0557701
1.33009,0.0543529
1.34759,0.0529371
1.36509,0.0515274
1.38259,0.0501406
1.40009,0.0488291
1.4176,0.047575
1.4351,0.0462751
1.4526,0.0449404
1.4701,0.0437024
1.4876,0.0424458
1.5051,0.0412495
1.5226,0.0401701
1.5401,0.0391435
1.55761,0.0380759
1.57511,0.0369558
1.59261,0.0360093
1.61011,0.0351946
1.62761,0.0343829
1.64511,0.0335764
1.66261,0.032851
1.68011,0.0321918
1.69761,0.0315358
1.71512,0.0308478
1.73262,0.0302131
1.75012,0.0296512
1.76762,0.0291288
1.78512,0.0286272
1.80262,0.0281394
1.82012,0.0276618
1.83762,0.027195
1.85513,0.0267425
1.87263,0.0263056
1.89013,0.0258838
1.90763,0.0254752
1.92513,0.025077
1.94263,0.0246866
1.96013,0.0243023
1.97763,0.0239229
1.99513,0.0235477
2.01264,0.0231762
2.03014,0.0228079
2.04764,0.022443
2.06514,0.0220824
2.08264,0.0217265
2.10014,0.0213759
2.11764,0.0210311
2.13514,0.0206924
2.15265,0.02036
2.17015,0.0200335
2.18765,0.0197117
2.20515,0.0193934
2.22265,0.0190778
2.24015,0.0187637
2.25765,0.0184503
2.27515,0.0181365
2.29265,0.0178211
2.31016,0.0175043
2.32766,0.0171863
2.34516,0.0168677
2.36266,0.0165489
2.38016,0.0162309
2.39766,0.0159145
2.41516,0.0156008
2.43266,0.0152903
2.45017,0.0149837
2.46767,0.0146816
2.48517,0.0143902
2.50267,0.0141189
2.52017,0.0138696
2.53767,0.0136404
2.55517,0.0134279
2.57267,0.0132298
2.59017,0.0130459
2.60768,0.0128774
2.62518,0.0127262
2.64268,0.0125948
2.66018,0.012487
2.67768,0.0124085
2.69518,0.012368
2.71268,0.0123798
2.73018,0.0124602
2.74769,0.0126214
2.76519,0.0128781
2.78269,0.0132466
2.80019,0.0137393
2.81769,0.0143623
2.83519,0.0151892
2.85269,0.0163615
2.87019,0.0179991
2.88769,0.0199539
2.9052,0.022242
2.9227,0.0252893
2.9402,0.0291479
2.9577,0.0328557
2.9752,0.0355396
2.9927,0.0351568
3.0102,0.0244058
3.0277,0.0043567
