##################################################################################
#
# Institution : Professur fuer Stroemungsmechanik (PfS), 
#               Helmut-Schmidt-Universitaet Hamburg (HSU)                
#
# Author      : Michael Breuer 
#
# E-Mail      : breuer@hsu-hh.de (++49 (0)40 - 6541  / 2724)
#
# Test Case   : 2D Periodic Hill Case
#
# Code        : LESOCC (Large-Eddy Simulation On Curvilinear Coordinates)
#                 3-D finite volume,
#                 Curvilinear body-fitted coordinate system,
#                 Non-staggered (cell-centered) grid arrangement,
#                 Block-structured grids 
#                 Spatial discretization:  central, second-order accurate
#                 Temporal discretization: Predictor-corrector scheme based on 
#                                          low-storage Runge-Kutta scheme, 
#                                          second-order accurate
# 
# Case        : 7   (Re = 5600, LES) 
#
# Please refer to               
#
#          Breuer, M., Peller, N., Rapp, Ch., Manhart, M.:
#          Flow over Periodic Hills - Numerical and Experimental Study in
#          a Wide Range of Reynolds Numbers, 
#          Int. J. Computers and Fluids, vol. 38(2), pp. 433-457, (2009).
#          DOI information:  http://dx.doi.org/10.1016/j.compfluid.2008.05.002
#
#          for further details. 
#
###################################################################################
#
#   y/h          U/Ubulk          V/Ubulk         uu/Ubulk^2       vv/Ubulk^2      uv/Ubulk^2      k/Ubulk^2  
#
 3.033407927E+00 2.894352190E-02 -4.781024927E-06 1.837069867E-04 2.960596568E-08 2.432174142E-07 1.427024545E-04
 3.027219296E+00 1.401124448E-01 9.162723291E-05 3.941236529E-03 1.253424489E-05 7.444047515E-05 2.663395135E-03
 3.021030426E+00 2.447736412E-01 2.724196529E-04 1.058944874E-02 7.215693768E-05 3.448944481E-04 6.802018732E-03
 3.014841557E+00 3.375769258E-01 5.079485709E-04 1.725734770E-02 1.900060597E-04 7.618621457E-04 1.089861244E-02
 3.008652925E+00 4.148921371E-01 7.717442350E-04 2.212836593E-02 3.631799482E-04 1.213350566E-03 1.399512216E-02
 3.002464056E+00 4.783172905E-01 1.039778697E-03 2.515105158E-02 5.757760373E-04 1.620160299E-03 1.607528515E-02
 2.996275425E+00 5.302415490E-01 1.298294170E-03 2.680905722E-02 8.149234345E-04 1.961450791E-03 1.739317365E-02
 2.990086555E+00 5.728135705E-01 1.538275625E-03 2.756418847E-02 1.068999409E-03 2.236236352E-03 1.818959042E-02
 2.983897924E+00 6.082198024E-01 1.755408593E-03 2.777095884E-02 1.328386366E-03 2.455401467E-03 1.865351014E-02
 2.977709055E+00 6.384821534E-01 1.951108687E-03 2.766781114E-02 1.586348400E-03 2.632516902E-03 1.891748607E-02
 2.971520424E+00 6.639421582E-01 2.121225232E-03 2.734732814E-02 1.836377545E-03 2.769301878E-03 1.902829669E-02
 2.965331554E+00 6.862551570E-01 2.269285498E-03 2.692193165E-02 2.076161094E-03 2.878355561E-03 1.905669458E-02
 2.959142923E+00 7.059504390E-01 2.397539327E-03 2.643426321E-02 2.303474583E-03 2.963546664E-03 1.902873814E-02
 2.952954054E+00 7.234103680E-01 2.505208598E-03 2.590908669E-02 2.516371198E-03 3.026783234E-03 1.895987615E-02
 2.946765423E+00 7.389674187E-01 2.593318233E-03 2.537034266E-02 2.713145921E-03 3.070775885E-03 1.886414550E-02
 2.940576553E+00 7.531228065E-01 2.663892694E-03 2.482875995E-02 2.895462792E-03 3.099141177E-03 1.875085384E-02
 2.934387922E+00 7.660619617E-01 2.718849573E-03 2.429297380E-02 3.063261043E-03 3.113686107E-03 1.862537675E-02
 2.928199053E+00 7.779600620E-01 2.759397030E-03 2.376723848E-02 3.216920188E-03 3.116106382E-03 1.849125139E-02
 2.922010422E+00 7.889550924E-01 2.787079429E-03 2.325443923E-02 3.357137321E-03 3.107900964E-03 1.835101098E-02
 2.915821552E+00 7.991747260E-01 2.802751958E-03 2.275398560E-02 3.484918969E-03 3.090407234E-03 1.820512675E-02
 2.909632683E+00 8.087016344E-01 2.807302168E-03 2.226668969E-02 3.601168049E-03 3.064562799E-03 1.805450767E-02
 2.903444052E+00 8.176244497E-01 2.801184775E-03 2.179414779E-02 3.706674557E-03 3.031836124E-03 1.790039428E-02
 2.897255182E+00 8.260458112E-01 2.785340883E-03 2.132125013E-02 3.800705541E-03 2.992067253E-03 1.773127168E-02
 2.891066551E+00 8.340032697E-01 2.761926968E-03 2.087359503E-02 3.888862440E-03 2.946008462E-03 1.756977662E-02
 2.884877682E+00 8.414974213E-01 2.728932770E-03 2.044293284E-02 3.969402984E-03 2.893727506E-03 1.740819588E-02
 2.878689051E+00 8.485722542E-01 2.688813489E-03 2.002944611E-02 4.043140449E-03 2.836951287E-03 1.724687964E-02
 2.872500181E+00 8.552916050E-01 2.641251776E-03 1.963087544E-02 4.110926762E-03 2.775727771E-03 1.708542742E-02
 2.866311550E+00 8.616670370E-01 2.587865805E-03 1.924660616E-02 4.173492081E-03 2.710689558E-03 1.692367531E-02
 2.860122681E+00 8.677235842E-01 2.527922159E-03 1.887445897E-02 4.231555853E-03 2.641988220E-03 1.676064543E-02
 2.853934050E+00 8.734743595E-01 2.462470438E-03 1.851379871E-02 4.285609815E-03 2.570001176E-03 1.659600250E-02
 2.847745180E+00 8.789362311E-01 2.392726950E-03 1.816621609E-02 4.336193204E-03 2.495735884E-03 1.643160172E-02
 2.841556549E+00 8.841294050E-01 2.319585998E-03 1.783317700E-02 4.383725580E-03 2.419600496E-03 1.626937278E-02
 2.835367680E+00 8.890736103E-01 2.244018950E-03 1.751561463E-02 4.428757820E-03 2.341988962E-03 1.611092873E-02
 2.829179049E+00 8.937836289E-01 2.166409278E-03 1.721326448E-02 4.471725784E-03 2.263299190E-03 1.595707424E-02
 2.822990179E+00 8.982734680E-01 2.087021712E-03 1.692516543E-02 4.512969870E-03 2.183867153E-03 1.580811478E-02
 2.816801548E+00 9.025403857E-01 2.007128671E-03 1.665159501E-02 4.552667495E-03 2.103931271E-03 1.566479914E-02
 2.810612679E+00 9.065653086E-01 1.925857156E-03 1.639256626E-02 4.591215868E-03 2.023764187E-03 1.552744489E-02
 2.804423809E+00 9.104126096E-01 1.842783997E-03 1.614419557E-02 4.629096016E-03 1.943310373E-03 1.539469045E-02
 2.798235178E+00 9.140961766E-01 1.759051578E-03 1.590681076E-02 4.666478839E-03 1.862776466E-03 1.526686642E-02
 2.792046309E+00 9.176063538E-01 1.675773761E-03 1.568215527E-02 4.703406245E-03 1.782405772E-03 1.514486596E-02
 2.785857677E+00 9.209088683E-01 1.591665437E-03 1.547401492E-02 4.740168806E-03 1.702065114E-03 1.503091492E-02
 2.779668808E+00 9.240778685E-01 1.506377710E-03 1.527599338E-02 4.777140915E-03 1.621934120E-03 1.492227241E-02
 2.773480177E+00 9.271293879E-01 1.422463218E-03 1.508734655E-02 4.814220592E-03 1.542059588E-03 1.481851935E-02
 2.767291307E+00 9.299724102E-01 1.337577007E-03 1.491534244E-02 4.851789214E-03 1.462277025E-03 1.472422760E-02
 2.761102676E+00 9.327103496E-01 1.251654234E-03 1.475286018E-02 4.889599979E-03 1.382540911E-03 1.463547722E-02
 2.754913807E+00 9.353470802E-01 1.166289323E-03 1.459977962E-02 4.927552771E-03 1.302861492E-03 1.455213968E-02
 2.748725176E+00 9.377995133E-01 1.080534304E-03 1.446579024E-02 4.966062494E-03 1.223091735E-03 1.447983738E-02
 2.742536306E+00 9.401744008E-01 9.943984915E-04 1.433952153E-02 5.004853942E-03 1.143482863E-03 1.441197842E-02
 2.736347675E+00 9.424205422E-01 9.078858420E-04 1.422598585E-02 5.044099875E-03 1.064207288E-03 1.435144991E-02
 2.730158806E+00 9.445471168E-01 8.219850715E-04 1.412479114E-02 5.083941389E-03 9.849503404E-04 1.429809164E-02
 2.723970175E+00 9.466173649E-01 7.352253888E-04 1.402924955E-02 5.124131683E-03 9.056965937E-04 1.424806472E-02
 2.717781305E+00 9.485157728E-01 6.494816043E-04 1.394965593E-02 5.166019779E-03 8.279220783E-04 1.420728862E-02
 2.711592674E+00 9.503738284E-01 5.643392797E-04 1.387406699E-02 5.208529998E-03 7.503035595E-04 1.416916400E-02
 2.705403805E+00 9.520992041E-01 4.784204357E-04 1.381128840E-02 5.253231619E-03 6.731510512E-04 1.413969416E-02
 2.699215174E+00 9.537652731E-01 3.951692779E-04 1.375370845E-02 5.298806820E-03 5.968220066E-04 1.411328372E-02
 2.693026304E+00 9.553232789E-01 3.115197760E-04 1.370512787E-02 5.346089602E-03 5.219348241E-04 1.409228612E-02
 2.686837435E+00 9.568219185E-01 2.299208718E-04 1.366203371E-02 5.393798463E-03 4.472704313E-04 1.407486573E-02
 2.680648804E+00 9.582068920E-01 1.464262750E-04 1.362909377E-02 5.442351103E-03 3.731713805E-04 1.406395901E-02
 2.674459934E+00 9.595687985E-01 6.488728104E-05 1.359828655E-02 5.491144955E-03 2.995021641E-04 1.405457221E-02
 2.668271303E+00 9.608026743E-01 -1.416069244E-05 1.357941981E-02 5.541076884E-03 2.280604822E-04 1.405338477E-02
 2.662082434E+00 9.620352387E-01 -9.372287604E-05 1.356070861E-02 5.591001827E-03 1.566256979E-04 1.405228302E-02
 2.655893803E+00 9.631468654E-01 -1.720202563E-04 1.355281286E-02 5.641613156E-03 8.553444786E-05 1.405971870E-02
 2.649704933E+00 9.642192721E-01 -2.513679210E-04 1.354854181E-02 5.692411680E-03 1.454166159E-05 1.406992693E-02
