##################################################################################
#
# Institution : Professur fuer Stroemungsmechanik (PfS), 
#               Helmut-Schmidt-Universitaet Hamburg (HSU)                
#
# Author      : Michael Breuer 
#
# E-Mail      : breuer@hsu-hh.de (++49 (0)40 - 6541  / 2724)
#
# Test Case   : 2D Periodic Hill Case
#
# Code        : LESOCC (Large-Eddy Simulation On Curvilinear Coordinates)
#                 3-D finite volume,
#                 Curvilinear body-fitted coordinate system,
#                 Non-staggered (cell-centered) grid arrangement,
#                 Block-structured grids 
#                 Spatial discretization:  central, second-order accurate
#                 Temporal discretization: Predictor-corrector scheme based on 
#                                          low-storage Runge-Kutta scheme, 
#                                          second-order accurate
# 
# Case        : 9   (Re = 10,595, LES) 
#
# Please refer to               
#
#          Breuer, M., Peller, N., Rapp, Ch., Manhart, M.:
#          Flow over Periodic Hills - Numerical and Experimental Study in
#          a Wide Range of Reynolds Numbers, 
#          Int. J. Computers and Fluids, vol. 38(2), pp. 433-457, (2009).
#          DOI information:  http://dx.doi.org/10.1016/j.compfluid.2008.05.002
#
#          for further details. 
#
###################################################################################
#
#   y/h          U/Ubulk          V/Ubulk         uu/Ubulk^2       vv/Ubulk^2      uv/Ubulk^2      k/Ubulk^2  
#
 3.033407927E+00 4.397228733E-02 -1.539344703E-05 5.494182114E-04 1.707419415E-07 8.397331044E-07 3.997706517E-04
 3.027219296E+00 2.117377520E-01 3.417158223E-05 1.050314866E-02 3.653671592E-05 2.434277703E-04 6.568416953E-03
 3.021030426E+00 3.530299962E-01 8.528104809E-05 2.186458558E-02 1.755405392E-04 8.453617920E-04 1.342087984E-02
 3.014841557E+00 4.579497874E-01 1.191093834E-04 2.760553546E-02 4.058869963E-04 1.442906214E-03 1.720203087E-02
 3.008652925E+00 5.326700211E-01 1.233770308E-04 2.910545096E-02 6.943010958E-04 1.882469747E-03 1.863609627E-02
 3.002464056E+00 5.869281888E-01 9.284111729E-05 2.885272168E-02 1.005292404E-03 2.180139069E-03 1.902642846E-02
 2.996275425E+00 6.291450858E-01 3.199226194E-05 2.802331746E-02 1.317404443E-03 2.389247296E-03 1.902261563E-02
 2.990086555E+00 6.620374918E-01 -6.076703721E-05 2.701343596E-02 1.614333247E-03 2.528416691E-03 1.884226874E-02
 2.983897924E+00 6.894384027E-01 -1.765150082E-04 2.600125410E-02 1.891473425E-03 2.625874477E-03 1.860729046E-02
 2.977709055E+00 7.124500871E-01 -3.144401999E-04 2.503951080E-02 2.142878948E-03 2.689660061E-03 1.835146733E-02
 2.971520424E+00 7.322257757E-01 -4.693792143E-04 2.413944155E-02 2.368276706E-03 2.728525549E-03 1.809136197E-02
 2.965331554E+00 7.496877909E-01 -6.394310622E-04 2.329115011E-02 2.570547862E-03 2.748617204E-03 1.783127524E-02
 2.959142923E+00 7.651324868E-01 -8.242170443E-04 2.249914221E-02 2.749909181E-03 2.751490334E-03 1.757603511E-02
 2.952954054E+00 7.789312601E-01 -1.022586250E-03 2.176629193E-02 2.908712486E-03 2.739343327E-03 1.733108982E-02
 2.946765423E+00 7.914792299E-01 -1.230672351E-03 2.108558454E-02 3.051146632E-03 2.715606010E-03 1.709713787E-02
 2.940576553E+00 8.029529452E-01 -1.448237221E-03 2.045112848E-02 3.178916872E-03 2.681821585E-03 1.687275060E-02
 2.934387922E+00 8.135018349E-01 -1.673534047E-03 1.985686831E-02 3.293900285E-03 2.639855491E-03 1.665606350E-02
 2.928199053E+00 8.232315183E-01 -1.905524521E-03 1.930036955E-02 3.397549037E-03 2.591093769E-03 1.644679159E-02
 2.922010422E+00 8.322149515E-01 -2.142340876E-03 1.878146082E-02 3.491277108E-03 2.536489395E-03 1.624567620E-02
 2.915821552E+00 8.405423164E-01 -2.382617211E-03 1.829770021E-02 3.576515475E-03 2.477455186E-03 1.605342515E-02
 2.909632683E+00 8.483012915E-01 -2.625638619E-03 1.784778200E-02 3.654654603E-03 2.414961113E-03 1.587079465E-02
 2.903444052E+00 8.555755615E-01 -2.870348748E-03 1.742735691E-02 3.726292867E-03 2.350001596E-03 1.569571346E-02
 2.897255182E+00 8.623977304E-01 -3.116526408E-03 1.702397875E-02 3.791869851E-03 2.281562192E-03 1.551997475E-02
 2.891066551E+00 8.687849641E-01 -3.362487769E-03 1.665144227E-02 3.855774179E-03 2.211072017E-03 1.535788830E-02
 2.884877682E+00 8.747678399E-01 -3.609158797E-03 1.630305685E-02 3.916490823E-03 2.138948767E-03 1.520373579E-02
 2.878689051E+00 8.803863525E-01 -3.854657058E-03 1.597867534E-02 3.974706866E-03 2.065853449E-03 1.505801734E-02
 2.872500181E+00 8.856794834E-01 -4.100493155E-03 1.567688771E-02 4.030953161E-03 1.991313882E-03 1.492066309E-02
 2.866311550E+00 8.906759024E-01 -4.345154855E-03 1.539701968E-02 4.085804801E-03 1.915885718E-03 1.479178760E-02
 2.860122681E+00 8.953902721E-01 -4.589339253E-03 1.513781399E-02 4.139460158E-03 1.839799574E-03 1.467132010E-02
