y/h,u/u_b,v/u_b,u'u'/u_b^2,v'v'/u_b^2,u'v'/u_b^2
0.031624,0.21335,0.0035738,0.034273,0.00099203,-0.00059886
0.077624,0.25868,-0.003296,0.035579,0.0043178,-0.0028547
0.12362,0.27738,-0.0059512,0.034554,0.0066562,-0.004301
0.16962,0.29105,-0.0089321,0.03435,0.0087965,-0.0058598
0.21562,0.30238,-0.012243,0.034725,0.010591,-0.0074455
0.26162,0.31693,-0.015874,0.035508,0.012467,-0.009072
0.30762,0.332,-0.020136,0.036895,0.014108,-0.010747
0.35362,0.34698,-0.024195,0.038352,0.015488,-0.012292
0.39962,0.36262,-0.028007,0.040161,0.016841,-0.013802
0.44562,0.37859,-0.032048,0.041966,0.018176,-0.015283
0.49162,0.39618,-0.035937,0.044031,0.018792,-0.016416
0.53762,0.4133,-0.038343,0.046083,0.01949,-0.017628
0.58362,0.43187,-0.042015,0.047956,0.020225,-0.018545
0.62962,0.451,-0.045328,0.049975,0.021094,-0.019434
0.67562,0.47118,-0.048819,0.051404,0.021488,-0.020139
0.72162,0.49203,-0.051177,0.052489,0.021594,-0.020393
0.76762,0.51142,-0.05259,0.053217,0.021525,-0.020639
0.81362,0.53129,-0.053994,0.054076,0.02173,-0.020706
0.85962,0.55095,-0.054519,0.05415,0.021785,-0.020655
0.90562,0.57086,-0.054931,0.05381,0.021305,-0.020215
0.95162,0.5889,-0.055325,0.053258,0.021013,-0.019758
0.99762,0.60733,-0.053799,0.05251,0.020709,-0.019263
1.0379,0.61983,-0.055983,0.05165,0.019484,-0.018256
1.0839,0.63812,-0.055469,0.050995,0.019561,-0.017922
1.1299,0.65573,-0.054104,0.049503,0.018849,-0.017186
1.1759,0.67281,-0.052481,0.047255,0.018297,-0.016225
1.2219,0.68915,-0.051398,0.045431,0.017811,-0.015282
1.2679,0.70418,-0.049884,0.043517,0.01737,-0.014585
1.3139,0.71894,-0.047978,0.041677,0.016865,-0.013886
1.3599,0.732,-0.045594,0.039991,0.016416,-0.013296
1.4059,0.74546,-0.043927,0.03767,0.015743,-0.012312
1.4519,0.75705,-0.041786,0.035745,0.015418,-0.011692
1.4979,0.768,-0.040078,0.033911,0.014936,-0.010943
1.5439,0.77799,-0.037265,0.032198,0.014572,-0.01032
1.5899,0.78737,-0.035255,0.030502,0.014119,-0.0097141
1.6359,0.79663,-0.034475,0.028941,0.013496,-0.00899
1.6819,0.8056,-0.033179,0.027713,0.013057,-0.0084442
1.7279,0.81412,-0.031229,0.026066,0.012793,-0.0078482
1.7739,0.82214,-0.030414,0.024489,0.012281,-0.0073046
1.8199,0.82997,-0.029204,0.023494,0.011815,-0.0068433
1.8659,0.83619,-0.027132,0.022548,0.011392,-0.0063665
1.9119,0.84162,-0.025036,0.021365,0.010955,-0.0058731
1.9579,0.84684,-0.023567,0.020477,0.01054,-0.0055061
2.0038,0.85184,-0.022145,0.01987,0.01018,-0.0051453
2.0498,0.85686,-0.020532,0.019072,0.0098865,-0.004834
2.0958,0.86115,-0.019371,0.018471,0.0096635,-0.0046784
2.1418,0.8647,-0.017287,0.017971,0.0094324,-0.0043183
2.1878,0.86841,-0.016155,0.017206,0.0089446,-0.0038883
2.2338,0.87191,-0.014675,0.0165,0.0086338,-0.0036926
2.2798,0.87607,-0.013007,0.015643,0.0083315,-0.0033493
2.3258,0.87979,-0.011919,0.014873,0.0078575,-0.0029492
2.3718,0.8825,-0.01102,0.014304,0.0072959,-0.0026451
2.4178,0.88419,-0.0098438,0.013836,0.0070505,-0.0023647
2.4638,0.88558,-0.0085669,0.013469,0.0066305,-0.0020741
2.5098,0.88632,-0.0073347,0.013133,0.0062757,-0.0017468
2.5558,0.88649,-0.006298,0.012691,0.0057263,-0.0013119
2.602,0.88494,-0.0050567,0.012407,0.0052965,-0.0010052
2.648,0.88187,-0.0041441,0.012141,0.0049532,-0.00073764
2.6938,0.8774,-0.0025858,0.011641,0.0044898,-0.00042229
2.7398,0.86943,-0.0011051,0.011493,0.0039602,-0.00012823
2.7858,0.859,6.34E-05,0.011574,0.0035157,0.0002108
2.832,0.84353,0.0014336,0.011533,0.0029995,0.00058877
2.878,0.81895,0.002058,0.01186,0.0026028,0.00079725
