x,Curve21
0.45417,0.0007311
0.4695,0.0098963
0.48482,0.0159647
0.50014,0.0179202
0.51546,0.0188894
0.53078,0.0195743
0.54611,0.0204128
0.56143,0.0213412
0.57675,0.0220762
0.59207,0.0228799
0.6074,0.0238226
0.62272,0.0245814
0.63804,0.0253731
0.65336,0.0263117
0.66869,0.0271002
0.68401,0.0278917
0.69933,0.0287284
0.71465,0.0294589
0.72998,0.030367
0.7453,0.0310888
0.76062,0.0318046
0.77594,0.032561
0.79127,0.0333018
0.80659,0.0340307
0.82191,0.0347484
0.83723,0.0353721
0.85255,0.0359762
0.86788,0.0365656
0.8832,0.0370946
0.89852,0.0375707
0.91384,0.0380546
0.92917,0.0385422
0.94449,0.0390256
0.95981,0.0394975
0.97513,0.0399438
0.99046,0.0403496
1.00578,0.0407196
1.0211,0.0410802
1.03642,0.0414383
1.05175,0.0417948
1.06707,0.0421406
1.08239,0.0424629
1.09771,0.042758
1.11304,0.0430294
1.12836,0.0432793
1.14368,0.0435055
1.159,0.0437057
1.17432,0.0438807
1.18965,0.0440361
1.20497,0.0441785
1.22029,0.0443122
1.23561,0.0444401
1.25094,0.0445555
1.26626,0.0446463
1.28158,0.0447083
1.2969,0.044743
1.31223,0.0447545
1.32755,0.0447489
1.34287,0.0447303
1.35819,0.0447006
1.37352,0.0446602
1.38884,0.0446083
1.40416,0.0445414
1.41948,0.0444505
1.43481,0.0443199
1.45013,0.0441301
1.46545,0.043905
1.48077,0.0436648
1.49609,0.0434074
1.51142,0.0431374
1.52674,0.0428605
1.54206,0.042569
1.55738,0.0422423
1.57271,0.0418901
1.58803,0.0415166
1.60335,0.0411186
1.61867,0.0406971
1.634,0.0402685
1.64932,0.0398551
1.66464,0.0394737
1.67996,0.0391006
1.69529,0.0386861
1.71061,0.0382233
1.72593,0.0377676
1.74125,0.0373007
1.75658,0.0367563
1.7719,0.0362338
1.78722,0.0357796
1.80254,0.0352891
1.81786,0.0347316
1.83319,0.0341867
1.84851,0.0336371
1.86383,0.033086
1.87915,0.0326076
1.89448,0.0321352
1.9098,0.0315343
1.92512,0.0309232
1.94044,0.0303936
1.95577,0.0298756
1.97109,0.0293487
1.98641,0.0288057
2.00173,0.0282433
2.01706,0.0277181
2.03238,0.0272587
2.0477,0.0267821
2.06302,0.0262338
2.07835,0.0256751
2.09367,0.0251404
2.10899,0.0246218
2.12431,0.024089
2.13963,0.0235426
2.15496,0.0230175
2.17028,0.0225235
2.1856,0.0220446
2.20092,0.0215436
2.21625,0.0210176
2.23157,0.0205209
2.24689,0.0200457
2.26221,0.0195768
2.27754,0.0191231
2.29286,0.0186958
2.30818,0.0183042
2.3235,0.0179422
2.33883,0.0175817
2.35415,0.0172019
2.36947,0.0168216
2.38479,0.0164595
2.40012,0.0161154
2.41544,0.015786
2.43076,0.0154695
2.44608,0.0151652
2.4614,0.0148736
2.47673,0.0145949
2.49205,0.0143302
2.50737,0.0140831
2.52269,0.0138565
2.53802,0.0136502
2.55334,0.0134625
2.56866,0.0132908
2.58398,0.013133
2.59931,0.0129879
2.61463,0.0128553
2.62995,0.0127354
2.64527,0.0126294
2.6606,0.012539
2.67592,0.0124668
2.69124,0.0124168
2.70656,0.0123926
2.72189,0.0123962
2.73721,0.0124291
2.75253,0.0124927
2.76785,0.0125875
2.78317,0.0127133
2.7985,0.0128684
2.81382,0.0130508
2.82914,0.0132593
2.84446,0.0134939
2.85979,0.013758
2.87511,0.0140804
2.89043,0.014509
2.90575,0.0149882
2.92108,0.0155242
2.9364,0.0161976
2.95172,0.0172167
2.96704,0.0185778
2.98237,0.0199948
2.99769,0.0206553
3.01301,0.0161807
3.02833,0.0019432
