##################################################################################
#
# Institution : Professur fuer Stroemungsmechanik (PfS), 
#               Helmut-Schmidt-Universitaet Hamburg (HSU)                
#
# Author      : Michael Breuer 
#
# E-Mail      : breuer@hsu-hh.de (++49 (0)40 - 6541  / 2724)
#
# Test Case   : 2D Periodic Hill Case
#
# Code        : LESOCC (Large-Eddy Simulation On Curvilinear Coordinates)
#                 3-D finite volume,
#                 Curvilinear body-fitted coordinate system,
#                 Non-staggered (cell-centered) grid arrangement,
#                 Block-structured grids 
#                 Spatial discretization:  central, second-order accurate
#                 Temporal discretization: Predictor-corrector scheme based on 
#                                          low-storage Runge-Kutta scheme, 
#                                          second-order accurate
# 
# Case        : 7   (Re = 5600, LES) 
#
# Please refer to               
#
#          Breuer, M., Peller, N., Rapp, Ch., Manhart, M.:
#          Flow over Periodic Hills - Numerical and Experimental Study in
#          a Wide Range of Reynolds Numbers, 
#          Int. J. Computers and Fluids, vol. 38(2), pp. 433-457, (2009).
#          DOI information:  http://dx.doi.org/10.1016/j.compfluid.2008.05.002
#
#          for further details. 
#
###################################################################################
#
#   y/h          U/Ubulk          V/Ubulk         uu/Ubulk^2       vv/Ubulk^2      uv/Ubulk^2      k/Ubulk^2  
#
 3.033407927E+00 2.453049831E-02 -8.398274076E-06 1.924493845E-04 3.282501382E-08 2.633222493E-07 1.474630117E-04
 3.027219296E+00 1.222733706E-01 5.319813499E-05 4.140465055E-03 1.306231297E-05 6.813016807E-05 2.756003290E-03
 3.021030426E+00 2.184588164E-01 1.539604855E-04 1.129995659E-02 7.430673577E-05 3.242942621E-04 7.120468654E-03
 3.014841557E+00 3.072078228E-01 2.718098112E-04 1.876594871E-02 1.927266276E-04 7.302326849E-04 1.157583203E-02
 3.008652925E+00 3.850385845E-01 3.837423283E-04 2.469396591E-02 3.620340140E-04 1.188960043E-03 1.516942680E-02
 3.002464056E+00 4.509200454E-01 4.685949243E-04 2.863780595E-02 5.679656751E-04 1.618380658E-03 1.768225804E-02
 2.996275425E+00 5.073167086E-01 5.208756775E-04 3.111475892E-02 7.956278860E-04 1.994408434E-03 1.939506829E-02
 2.990086555E+00 5.543372631E-01 5.302606151E-04 3.237699345E-02 1.035166788E-03 2.299477113E-03 2.043452114E-02
 2.983897924E+00 5.948540568E-01 5.039452808E-04 3.293354064E-02 1.277354313E-03 2.548201708E-03 2.107420750E-02
 2.977709055E+00 6.295680404E-01 4.388529051E-04 3.296387568E-02 1.516023418E-03 2.742602956E-03 2.140687406E-02
